transaction_id,date,plant,vendor_name,line_item_description,amount_usd
TXN-100267,2025-11-06,"Plant A - Stuttgart, DE",RegionalTruck Co,"customs clearance fee, shipment 832",26759.28
TXN-100262,2026-06-10,"Plant B - Queretaro, MX",AirCargo Express,"freight forwarding fee, shipment 899",37631.0
TXN-100266,2026-04-10,"Plant A - Stuttgart, DE",TransGlobal Freight,"ocean freight - container FCL, lot 96",28382.52
TXN-100040,2025-10-05,"Plant A - Stuttgart, DE",SteelCore Industries,"6mm HRC steel coil - grade S355, lot 235",46293.27
TXN-100034,2026-08-04,"Plant D - Ohio, US",Meridian Raw Materials,Cast iron ingots - batch 132,90553.04
TXN-100364,2026-04-14,"Plant D - Ohio, US",AutomationTech GmbH,"linear actuator system, qty 762",67745.93
TXN-100056,2026-05-19,"Plant A - Stuttgart, DE",Alloy Dynamics GmbH,Cast iron ingots - batch 59,88203.06
TXN-100263,2026-02-21,"Plant D - Ohio, US",OceanLink Shipping,inbound trucking - interplant transfer 424,6097.12
TXN-100312,2025-10-02,"Plant D - Ohio, US",IT Peripherals Supply,"landscaping services, contract 155",694.28
TXN-100169,2025-11-03,"Plant D - Ohio, US",Grainger-type Supply,"lubricant - industrial grade, 450L drum",327.37
TXN-100235,2025-10-03,"Plant D - Ohio, US",CustomsBroker Partners,inbound trucking - interplant transfer 664,8143.51
TXN-100286,2025-09-29,"Plant A - Stuttgart, DE",Office Essentials Co,"security system monitoring, period 614",426.44
TXN-100142,2026-01-11,"Plant C - Haiphong, VN",ToolWorks Ltd,"air filter cartridge, qty 817",1245.25
TXN-100251,2026-02-13,"Plant A - Stuttgart, DE",TransGlobal Freight,inbound trucking - interplant transfer 603,11824.05
TXN-100117,2026-04-03,"Plant B - Queretaro, MX",SafetyFirst Equipment,"gasket set - pump housing, unit 874",3645.97
TXN-100359,2026-01-29,"Plant B - Queretaro, MX",Precision Motion Systems,"linear actuator system, qty 38",113126.48
TXN-100243,2026-03-08,"Plant C - Haiphong, VN",AirCargo Express,"ocean freight - container FCL, lot 703",34841.47
TXN-100057,2025-10-05,"Plant B - Queretaro, MX",Pan-Asia Metals Co,"Aluminum billet 7075-T6, 610kg lot",15698.85
TXN-100233,2026-08-12,"Plant B - Queretaro, MX",AirCargo Express,"customs clearance fee, shipment 111",22303.13
TXN-100091,2026-08-07,"Plant C - Haiphong, VN",HydroTech Parts,"hydraulic hose assembly repair, qty 972",670.23
TXN-100016,2026-07-25,"Plant B - Queretaro, MX",Alloy Dynamics GmbH,"Stainless steel sheet 304, 948 units",23956.19
