vendor_name,under_contract
Conveyor Components Co,True
CustomsBroker Partners,True
Industrial Supply Co,True
Continental Alloys,True
Landscaping Solutions,True
ServoDrive Solutions,True
Nordic Steel Supply,True
AirCargo Express,True
TransGlobal Freight,True
SafetyFirst Equipment,True
Global Metals Partners,True
Precision Motion Systems,True
Grainger-type Supply,True
Filtration Direct,True
Bearings Direct,True
RegionalTruck Co,True
Pan-Asia Metals Co,True
Print & Signage Co,True
LastMile Logistics,True
Alloy Dynamics GmbH,True
SteelCore Industries,True
Waste Management Ltd,True
HydroTech Parts,True
Catering Services Co,True
FastFix MRO,True
HVAC Services Group,True
Belt & Chain Co,True
ControlLogic Systems,True
Export Crate Co,False
FoamPack Industries,False
Security Systems Inc,False
Gasket & Seal Supply,False
WrapTech Films,False
RoboCell Integrators,False
PalletPro Solutions,False
Janitorial Partners,False
AutomationTech GmbH,False
Lubricant Solutions,False
Office Essentials Co,False
Local Electrician Services,False
Meridian Raw Materials,False
IT Peripherals Supply,False
OceanLink Shipping,False
ToolWorks Ltd,False
CartonWorks,False
ElectroParts MRO,False
Local Hardware Depot,False
Precision Fasteners Inc,False
