transaction_id,_ground_truth_category
TXN-100267,logistics_freight
TXN-100262,logistics_freight
TXN-100266,logistics_freight
TXN-100040,raw_materials
TXN-100034,raw_materials
TXN-100364,capex_components
TXN-100056,raw_materials
TXN-100263,logistics_freight
TXN-100312,indirect_facilities
TXN-100169,mro
TXN-100235,logistics_freight
TXN-100286,indirect_facilities
TXN-100142,mro
TXN-100251,logistics_freight
TXN-100117,mro
TXN-100359,capex_components
TXN-100243,logistics_freight
TXN-100057,raw_materials
TXN-100233,logistics_freight
TXN-100091,mro
TXN-100016,raw_materials
TXN-100247,logistics_freight
TXN-100375,capex_components
TXN-100001,raw_materials
TXN-100079,mro
TXN-100259,logistics_freight
TXN-100026,raw_materials
TXN-100047,raw_materials
TXN-100010,raw_materials
TXN-100077,mro
TXN-100319,indirect_facilities
TXN-100281,indirect_facilities
TXN-100043,raw_materials
TXN-100209,packaging
TXN-100195,packaging
TXN-100149,mro
TXN-100102,mro
TXN-100158,mro
TXN-100109,mro
TXN-100377,capex_components
TXN-100127,mro
TXN-100322,indirect_facilities
TXN-100023,raw_materials
TXN-100032,raw_materials
TXN-100239,logistics_freight
TXN-100369,capex_components
TXN-100343,indirect_facilities
TXN-100031,raw_materials
TXN-100058,raw_materials
TXN-100293,indirect_facilities
TXN-100085,mro
TXN-100308,indirect_facilities
TXN-100326,indirect_facilities
TXN-100368,capex_components
TXN-100313,indirect_facilities
TXN-100006,raw_materials
TXN-100174,mro
TXN-100046,raw_materials
TXN-100245,logistics_freight
TXN-100119,mro
TXN-100074,mro
TXN-100228,logistics_freight
TXN-100111,mro
TXN-100105,mro
TXN-100351,capex_components
TXN-100073,mro
TXN-100211,packaging
TXN-100004,raw_materials
TXN-100019,raw_materials
TXN-100318,indirect_facilities
TXN-100240,logistics_freight
TXN-100317,indirect_facilities
TXN-100064,raw_materials
TXN-100230,logistics_freight
TXN-100083,mro
TXN-100095,mro
TXN-100078,mro
TXN-100221,packaging
TXN-100298,indirect_facilities
TXN-100114,mro
TXN-100204,packaging
TXN-100115,mro
TXN-100226,logistics_freight
TXN-100355,capex_components
TXN-100300,indirect_facilities
TXN-100076,mro
TXN-100094,mro
TXN-100246,logistics_freight
TXN-100017,raw_materials
TXN-100067,raw_materials
TXN-100140,mro
TXN-100008,raw_materials
TXN-100176,mro
TXN-100232,logistics_freight
TXN-100337,indirect_facilities
TXN-100370,capex_components
TXN-100110,mro
TXN-100353,capex_components
TXN-100372,capex_components
TXN-100283,indirect_facilities
TXN-100061,raw_materials
TXN-100250,logistics_freight
TXN-100363,capex_components
TXN-100159,mro
TXN-100248,logistics_freight
TXN-100146,mro
TXN-100018,raw_materials
TXN-100295,indirect_facilities
TXN-100025,raw_materials
TXN-100138,mro
TXN-100333,indirect_facilities
TXN-100352,capex_components
TXN-100311,indirect_facilities
TXN-100168,mro
TXN-100335,indirect_facilities
TXN-100342,indirect_facilities
TXN-100376,capex_components
TXN-100290,indirect_facilities
TXN-100224,packaging
TXN-100164,mro
TXN-100125,mro
TXN-100278,logistics_freight
TXN-100120,mro
TXN-100197,packaging
TXN-100166,mro
TXN-100020,raw_materials
TXN-100156,mro
TXN-100080,mro
TXN-100133,mro
TXN-100141,mro
TXN-100292,indirect_facilities
TXN-100037,raw_materials
TXN-100358,capex_components
TXN-100357,capex_components
TXN-100182,packaging
TXN-100183,packaging
TXN-100060,raw_materials
TXN-100112,mro
TXN-100153,mro
TXN-100007,raw_materials
TXN-100334,indirect_facilities
TXN-100285,indirect_facilities
TXN-100011,raw_materials
TXN-100178,mro
TXN-100104,mro
TXN-100082,mro
TXN-100332,indirect_facilities
TXN-100223,packaging
TXN-100193,packaging
TXN-100210,packaging
TXN-100303,indirect_facilities
TXN-100154,mro
TXN-100090,mro
TXN-100177,mro
TXN-100148,mro
TXN-100212,packaging
TXN-100093,mro
TXN-100070,raw_materials
TXN-100124,mro
TXN-100097,mro
TXN-100144,mro
TXN-100288,indirect_facilities
TXN-100098,mro
TXN-100272,logistics_freight
TXN-100069,raw_materials
TXN-100024,raw_materials
TXN-100038,raw_materials
TXN-100145,mro
TXN-100123,mro
TXN-100068,raw_materials
TXN-100173,mro
TXN-100199,packaging
TXN-100203,packaging
TXN-100301,indirect_facilities
TXN-100181,packaging
TXN-100126,mro
TXN-100147,mro
TXN-100219,packaging
TXN-100087,mro
TXN-100341,indirect_facilities
TXN-100275,logistics_freight
TXN-100321,indirect_facilities
TXN-100194,packaging
TXN-100287,indirect_facilities
TXN-100184,packaging
TXN-100297,indirect_facilities
TXN-100269,logistics_freight
TXN-100196,packaging
TXN-100279,logistics_freight
TXN-100130,mro
TXN-100039,raw_materials
TXN-100012,raw_materials
TXN-100256,logistics_freight
TXN-100186,packaging
TXN-100324,indirect_facilities
TXN-100113,mro
TXN-100180,mro
TXN-100254,logistics_freight
TXN-100330,indirect_facilities
TXN-100118,mro
TXN-100350,capex_components
TXN-100366,capex_components
TXN-100273,logistics_freight
TXN-100361,capex_components
TXN-100165,mro
TXN-100234,logistics_freight
TXN-100137,mro
TXN-100155,mro
TXN-100200,packaging
TXN-100198,packaging
TXN-100373,capex_components
TXN-100003,raw_materials
TXN-100205,packaging
TXN-100116,mro
TXN-100336,indirect_facilities
TXN-100220,packaging
TXN-100027,raw_materials
TXN-100121,mro
TXN-100291,indirect_facilities
TXN-100225,packaging
TXN-100299,indirect_facilities
TXN-100327,indirect_facilities
TXN-100128,mro
TXN-100075,mro
TXN-100306,indirect_facilities
TXN-100030,raw_materials
TXN-100084,mro
TXN-100356,capex_components
TXN-100108,mro
TXN-100249,logistics_freight
TXN-100238,logistics_freight
TXN-100134,mro
TXN-100185,packaging
TXN-100276,logistics_freight
TXN-100045,raw_materials
TXN-100379,capex_components
TXN-100066,raw_materials
TXN-100282,indirect_facilities
TXN-100086,mro
TXN-100187,packaging
TXN-100071,mro
TXN-100160,mro
TXN-100013,raw_materials
TXN-100036,raw_materials
TXN-100029,raw_materials
TXN-100171,mro
TXN-100143,mro
TXN-100302,indirect_facilities
TXN-100362,capex_components
TXN-100151,mro
TXN-100229,logistics_freight
TXN-100222,packaging
TXN-100132,mro
TXN-100096,mro
TXN-100354,capex_components
TXN-100052,raw_materials
TXN-100241,logistics_freight
TXN-100284,indirect_facilities
TXN-100289,indirect_facilities
TXN-100179,mro
TXN-100042,raw_materials
TXN-100367,capex_components
TXN-100207,packaging
TXN-100255,logistics_freight
TXN-100315,indirect_facilities
TXN-100005,raw_materials
TXN-100257,logistics_freight
TXN-100340,indirect_facilities
TXN-100101,mro
TXN-100227,logistics_freight
TXN-100325,indirect_facilities
TXN-100214,packaging
TXN-100172,mro
TXN-100099,mro
TXN-100216,packaging
TXN-100062,raw_materials
TXN-100048,raw_materials
TXN-100033,raw_materials
TXN-100268,logistics_freight
TXN-100201,packaging
TXN-100338,indirect_facilities
TXN-100028,raw_materials
TXN-100305,indirect_facilities
TXN-100231,logistics_freight
TXN-100261,logistics_freight
TXN-100163,mro
TXN-100323,indirect_facilities
TXN-100139,mro
TXN-100063,raw_materials
TXN-100136,mro
TXN-100129,mro
TXN-100009,raw_materials
TXN-100065,raw_materials
TXN-100015,raw_materials
TXN-100157,mro
TXN-100041,raw_materials
TXN-100348,capex_components
TXN-100339,indirect_facilities
TXN-100217,packaging
TXN-100280,logistics_freight
TXN-100328,indirect_facilities
TXN-100237,logistics_freight
TXN-100208,packaging
TXN-100213,packaging
TXN-100296,indirect_facilities
TXN-100346,capex_components
TXN-100252,logistics_freight
TXN-100371,capex_components
TXN-100347,capex_components
TXN-100304,indirect_facilities
TXN-100270,logistics_freight
TXN-100202,packaging
TXN-100162,mro
TXN-100044,raw_materials
TXN-100218,packaging
TXN-100191,packaging
TXN-100310,indirect_facilities
TXN-100260,logistics_freight
TXN-100106,mro
TXN-100054,raw_materials
TXN-100002,raw_materials
TXN-100050,raw_materials
TXN-100081,mro
TXN-100206,packaging
TXN-100035,raw_materials
TXN-100264,logistics_freight
TXN-100092,mro
TXN-100053,raw_materials
TXN-100265,logistics_freight
TXN-100242,logistics_freight
TXN-100014,raw_materials
TXN-100316,indirect_facilities
TXN-100089,mro
TXN-100274,logistics_freight
TXN-100167,mro
TXN-100329,indirect_facilities
TXN-100374,capex_components
TXN-100135,mro
TXN-100307,indirect_facilities
TXN-100365,capex_components
TXN-100320,indirect_facilities
TXN-100244,logistics_freight
TXN-100055,raw_materials
TXN-100051,raw_materials
TXN-100175,mro
TXN-100190,packaging
TXN-100378,capex_components
TXN-100188,packaging
TXN-100170,mro
TXN-100059,raw_materials
TXN-100049,raw_materials
TXN-100345,indirect_facilities
TXN-100236,logistics_freight
TXN-100253,logistics_freight
TXN-100022,raw_materials
TXN-100314,indirect_facilities
TXN-100161,mro
TXN-100277,logistics_freight
TXN-100192,packaging
TXN-100294,indirect_facilities
TXN-100344,indirect_facilities
TXN-100258,logistics_freight
TXN-100309,indirect_facilities
TXN-100150,mro
TXN-100131,mro
TXN-100152,mro
TXN-100360,capex_components
TXN-100100,mro
TXN-100088,mro
TXN-100331,indirect_facilities
TXN-100215,packaging
TXN-100122,mro
TXN-100380,capex_components
TXN-100021,raw_materials
TXN-100189,packaging
TXN-100072,mro
TXN-100107,mro
TXN-100271,logistics_freight
TXN-100349,capex_components
TXN-100103,mro
