transaction_id,date,plant,vendor_name,line_item_description,amount_usd,category,under_contract
TXN-100267,2025-11-06,"Plant A - Stuttgart, DE",RegionalTruck Co,"customs clearance fee, shipment 832",26759.28,logistics_freight,True
TXN-100262,2026-06-10,"Plant B - Queretaro, MX",AirCargo Express,"freight forwarding fee, shipment 899",37631.0,logistics_freight,True
TXN-100266,2026-04-10,"Plant A - Stuttgart, DE",TransGlobal Freight,"ocean freight - container FCL, lot 96",28382.52,logistics_freight,True
TXN-100040,2025-10-05,"Plant A - Stuttgart, DE",SteelCore Industries,"6mm HRC steel coil - grade S355, lot 235",46293.27,raw_materials,True
TXN-100034,2026-08-04,"Plant D - Ohio, US",Meridian Raw Materials,Cast iron ingots - batch 132,90553.04,raw_materials,False
TXN-100364,2026-04-14,"Plant D - Ohio, US",AutomationTech GmbH,"linear actuator system, qty 762",67745.93,capex_components,False
TXN-100056,2026-05-19,"Plant A - Stuttgart, DE",Alloy Dynamics GmbH,Cast iron ingots - batch 59,88203.06,raw_materials,True
TXN-100263,2026-02-21,"Plant D - Ohio, US",OceanLink Shipping,inbound trucking - interplant transfer 424,6097.12,logistics_freight,False
TXN-100312,2025-10-02,"Plant D - Ohio, US",IT Peripherals Supply,"landscaping services, contract 155",694.28,indirect_facilities,False
TXN-100169,2025-11-03,"Plant D - Ohio, US",Grainger-type Supply,"lubricant - industrial grade, 450L drum",327.37,mro,True
TXN-100235,2025-10-03,"Plant D - Ohio, US",CustomsBroker Partners,inbound trucking - interplant transfer 664,8143.51,logistics_freight,True
TXN-100286,2025-09-29,"Plant A - Stuttgart, DE",Office Essentials Co,"security system monitoring, period 614",426.44,indirect_facilities,False
TXN-100142,2026-01-11,"Plant C - Haiphong, VN",ToolWorks Ltd,"air filter cartridge, qty 817",1245.25,mro,False
TXN-100251,2026-02-13,"Plant A - Stuttgart, DE",TransGlobal Freight,inbound trucking - interplant transfer 603,11824.05,logistics_freight,True
TXN-100117,2026-04-03,"Plant B - Queretaro, MX",SafetyFirst Equipment,"gasket set - pump housing, unit 874",3645.97,mro,True
TXN-100359,2026-01-29,"Plant B - Queretaro, MX",Precision Motion Systems,"linear actuator system, qty 38",113126.48,capex_components,True
TXN-100243,2026-03-08,"Plant C - Haiphong, VN",AirCargo Express,"ocean freight - container FCL, lot 703",34841.47,logistics_freight,True
TXN-100057,2025-10-05,"Plant B - Queretaro, MX",Pan-Asia Metals Co,"Aluminum billet 7075-T6, 610kg lot",15698.85,raw_materials,True
TXN-100233,2026-08-12,"Plant B - Queretaro, MX",AirCargo Express,"customs clearance fee, shipment 111",22303.13,logistics_freight,True
TXN-100091,2026-08-07,"Plant C - Haiphong, VN",HydroTech Parts,"hydraulic hose assembly repair, qty 972",670.23,mro,True
TXN-100016,2026-07-25,"Plant B - Queretaro, MX",Alloy Dynamics GmbH,"Stainless steel sheet 304, 948 units",23956.19,raw_materials,True
TXN-100247,2026-06-28,"Plant B - Queretaro, MX",TransGlobal Freight,"warehousing & handling, invoice 213",16785.63,logistics_freight,True
TXN-100375,2026-07-07,"Plant B - Queretaro, MX",AutomationTech GmbH,"industrial robot arm - refurbished, unit 34",13186.69,capex_components,False
TXN-100001,2026-01-19,"Plant B - Queretaro, MX",Global Metals Partners,"6mm HRC steel coil - grade S355, lot 760",40584.99,raw_materials,True
TXN-100079,2025-11-23,"Plant B - Queretaro, MX",Local Hardware Depot,"drive belt V-type, 886 pack",1709.33,mro,False
TXN-100259,2026-07-22,"Plant C - Haiphong, VN",TransGlobal Freight,"customs clearance fee, shipment 640",22049.27,logistics_freight,True
TXN-100026,2026-06-02,"Plant C - Haiphong, VN",Global Metals Partners,"Aluminum billet 7075-T6, 699kg lot",76310.31,raw_materials,True
TXN-100047,2026-04-05,"Plant B - Queretaro, MX",SteelCore Industries,"Zinc alloy ingots, lot 144",35118.86,raw_materials,True
TXN-100010,2025-12-08,"Plant A - Stuttgart, DE",Alloy Dynamics GmbH,"Bronze bar stock C93200, 592m",69602.31,raw_materials,True
TXN-100077,2026-01-06,"Plant A - Stuttgart, DE",Gasket & Seal Supply,"drive belt V-type, 699 pack",3505.03,mro,False
TXN-100319,2025-11-12,"Plant C - Haiphong, VN",Janitorial Partners,"landscaping services, contract 680",1185.55,indirect_facilities,False
TXN-100281,2026-07-14,"Plant A - Stuttgart, DE",Print & Signage Co,"HVAC maintenance contract, visit 162",5807.03,indirect_facilities,True
TXN-100043,2026-03-28,"Plant B - Queretaro, MX",SteelCore Industries,"Zinc alloy ingots, lot 827",10991.8,raw_materials,True
TXN-100209,2026-03-03,"Plant C - Haiphong, VN",PalletPro Solutions,corrugated shipping cartons - 301x18x12in,657.7,packaging,False
TXN-100195,2026-04-22,"Plant C - Haiphong, VN",PalletPro Solutions,"strapping bands - PET, 387kg spool",4464.94,packaging,False
TXN-100149,2025-11-01,"Plant B - Queretaro, MX",SafetyFirst Equipment,"lubricant - industrial grade, 237L drum",373.93,mro,True
TXN-100102,2026-08-23,"Plant D - Ohio, US",HydroTech Parts,"drive belt V-type, 736 pack",2918.39,mro,True
TXN-100158,2026-06-13,"Plant D - Ohio, US",Industrial Supply Co,"drive belt V-type, 122 pack",3463.05,mro,True
TXN-100109,2026-07-24,"Plant C - Haiphong, VN",ToolWorks Ltd,"drive belt V-type, 861 pack",1145.27,mro,False
TXN-100377,2026-03-23,"Plant C - Haiphong, VN",AutomationTech GmbH,"industrial robot arm - refurbished, unit 376",102160.66,capex_components,False
TXN-100127,2025-11-18,"Plant B - Queretaro, MX",Bearings Direct,bearing replacement kit - conveyor line 637,3708.36,mro,True
TXN-100322,2026-02-16,"Plant B - Queretaro, MX",Landscaping Solutions,"IT peripherals - keyboards/monitors, order 811",4701.95,indirect_facilities,True
TXN-100023,2026-07-19,"Plant B - Queretaro, MX",Nordic Steel Supply,"Aluminum billet 7075-T6, 157kg lot",33416.58,raw_materials,True
TXN-100032,2026-02-05,"Plant B - Queretaro, MX",SteelCore Industries,"Bronze bar stock C93200, 900m",22835.6,raw_materials,True
TXN-100239,2026-06-04,"Plant D - Ohio, US",TransGlobal Freight,"freight forwarding fee, shipment 714",24847.02,logistics_freight,True
TXN-100369,2026-04-07,"Plant B - Queretaro, MX",Precision Motion Systems,"industrial robot arm - refurbished, unit 735",27515.98,capex_components,True
TXN-100343,2026-08-28,"Plant D - Ohio, US",IT Peripherals Supply,"HVAC maintenance contract, visit 778",1291.17,indirect_facilities,False
TXN-100031,2026-02-13,"Plant D - Ohio, US",Alloy Dynamics GmbH,"6mm HRC steel coil - grade S355, lot 614",60856.4,raw_materials,True
TXN-100058,2026-07-02,"Plant A - Stuttgart, DE",Alloy Dynamics GmbH,"Copper wire rod 8mm, spool 593",25050.51,raw_materials,True
TXN-100293,2026-04-02,"Plant C - Haiphong, VN",Landscaping Solutions,"IT peripherals - keyboards/monitors, order 656",5382.38,indirect_facilities,True
